id,label,timeset,morder,myear,mcost,mgross,mprofit,mtomatometer,maudience,aname,atwitter,afacebook,type,role,rank
272,Mitchell Ellison,,12,2015,0,0,0,0,0,Geoffrey Cantor,0,0,actor,support,10
273,Molly Bowden,,11,2015,0,0,0,0,0,Laura Coover,0,0,actor,support,1
274,Mr. Giyera,,7,2013,0,0,0,0,0,Mark Dacascos,0,0,actor,support,9
275,Mrs. Vistain,,12,2015,0,0,0,0,0,Phyllis Somerville,0,0,actor,support,2
276,Natasha Romanoff / Black Widow,,2,2010,0,0,0,0,0,Scarlett Johansson,0,0,actor,avenger,50
277,Nebula,,10,2014,0,0,0,0,0,Karen Gillan,0,0,actor,villain,10
278,Nick Fury,,0,2008,0,0,0,0,0,Samuel L. Jackson,0,0,actor,shield,72
279,Nicodemus West,,17,2016,0,0,0,0,0,Michael Stuhlbarg,0,0,actor,support,10
280,Nicole,,15,2015,0,0,0,0,0,Nichole Yannetty,0,0,actor,support,4
281,Nobu,,12,2015,0,0,0,0,0,Peter Shinkoda,0,0,actor,villain,9
282,Nova Prime,,10,2014,0,0,0,0,0,Glenn Close,0,0,actor,undefined,10
283,Obadiah Stane / Iron Monk,,0,2008,0,0,0,0,0,Jeff Bridges,0,0,actor,villain,10
284,Odin,,3,2011,0,0,0,0,0,Anthony Hopkins,0,0,actor,undefined,20
285,Pam,,15,2015,0,0,0,0,0,Susie Abromeit,0,0,actor,support,8
286,Pat Kiernan,,5,2012,0,0,0,0,0,Pat Kiernan,0,0,actor,support,20
287,Paula,,7,2013,0,0,0,0,0,Staci Roberts Steele,0,0,actor,support,1
288,Paxton,,14,2015,0,0,0,0,0,Bobby Cannavale,0,0,actor,support,10
289,Pepper Potts,,0,2008,0,0,0,0,0,Gwyneth Paltrow,0,0,actor,undefined,40
